GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
115,V10C,0,795646.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
116,V10C,0,795676.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
117,V10C,0,795706.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
118,V10C,0,795736.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
119,V10C,0,795766.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
120,V10C,0,795796.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
121,V10C,0,795826.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
122,V10C,0,795856.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
123,V10C,0,795886.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
124,V10C,0,795916.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
125,V10C,0,795946.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
127,V10C,0,796006.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
128,V10C,0,795346.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
129,V10C,0,795376.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
130,V10C,3,795406.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
131,V10C,1,795436.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
132,V10C,1,795466.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
133,V10C,0,795496.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
134,V10C,0,795526.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
135,V10C,0,795556.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
136,V10C,0,795586.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
137,V10C,1,795616.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
138,V10C,0,795646.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
139,V10C,0,795676.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
140,V10C,1,795706.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
141,V10C,0,795736.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
142,V10C,0,795766.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
143,V10C,0,795796.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
144,V10C,0,795826.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
145,V10C,0,795856.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
146,V10C,0,795886.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
147,V10C,0,795916.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
148,V10C,0,795946.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
149,V10C,0,795976.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
150,V10C,0,796006.88330,9915425.57300,23,23,0,0,8,26,5/12/2021
152,V10C,0,795346.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
153,V10C,0,795376.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
154,V10C,0,795406.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
155,V10C,0,795436.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
156,V10C,0,795466.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
157,V10C,0,795496.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
158,V10C,0,795526.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
159,V10C,0,795556.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
160,V10C,0,795586.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
161,V10C,0,795616.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
162,V10C,0,795646.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
163,V10C,0,795676.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
164,V10C,0,795706.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
165,V10C,0,795736.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
166,V10C,0,795766.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
167,V10C,1,795796.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
168,V10C,0,795826.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
169,V10C,1,795856.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
170,V10C,0,795886.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
171,V10C,0,795916.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
172,V10C,0,795946.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
173,V10C,0,795976.88330,9915455.57300,23,23,0,0,8,26,5/12/2021
177,V10C,0,795346.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
178,V10C,0,795406.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
179,V10C,0,795436.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
180,V10C,0,795466.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
181,V10C,2,795496.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
182,V10C,0,795526.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
183,V10C,0,795556.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
184,V10C,0,795586.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
185,V10C,0,795616.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
186,V10C,0,795646.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
187,V10C,0,795676.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
188,V10C,0,795706.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
189,V10C,1,795736.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
190,V10C,0,795766.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
191,V10C,0,795796.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
192,V10C,0,795826.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
193,V10C,0,795856.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
194,V10C,0,795886.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
195,V10C,0,795916.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
196,V10C,0,795946.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
197,V10C,0,795976.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
198,V10C,0,796006.88330,9915485.57300,23,23,0,0,8,26,5/12/2021
